ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
⏳ [19:12:01] ⏳ Tentativa 421/1000 (70 min decorridos)
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:01] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
⏳ [19:12:02] ⏳ Tentativa 433/1000 (72 min decorridos)
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
⏳ [19:12:02] ⏳ Tentativa 445/1000 (74 min decorridos)
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
⏳ [19:12:02] ⏳ Tentativa 457/1000 (76 min decorridos)
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
❌ [19:12:02] Variáveis de ambiente não configuradas
⏳ [19:12:02] ⏳ Tentativa 469/1000 (78 min decorridos)
